"PC";"LocalIP";"LocalPort";"RemoteIP";"RemotePort";"RemoteServer";"State";"PID";"Process"
"PAPSRPA003";"10.109.71.108";"52360";"10.105.222.201";"514";"plogsoc003.ca-titres.fr";"Established";"1152";"nxlog"
"PAPSRPA003";"10.109.71.108";"59195";"10.105.230.50";"135";"ANGITA.ca-titres.fr";"Established";"848";"svchost"
"PAPSRPA003";"10.109.71.108";"59201";"10.105.230.50";"445";"ANGITA.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"59203";"10.105.230.50";"445";"ANGITA.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"59204";"10.105.230.50";"445";"ANGITA.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"59205";"10.105.230.50";"445";"ANGITA.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"59196";"10.105.230.50";"49667";"ANGITA.ca-titres.fr";"Established";"848";"svchost"
"PAPSRPA003";"10.109.71.108";"58157";"10.105.230.50";"49667";"ANGITA.ca-titres.fr";"Established";"5272";"splunk-winevtlog"
"PAPSRPA003";"10.109.71.108";"59165";"10.109.187.11";"9997";"PSPLIND006.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA003";"10.109.71.108";"59219";"10.109.187.12";"9997";"PSPLIND007.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA003";"10.109.71.108";"59231";"10.109.187.13";"9997";"psplind008.ca-titres.fr";"Established";"3524";"splunkd"
"PAPSRPA003";"10.109.71.108";"59223";"10.109.187.15";"8089";"PSPLDES001.ca-titres.fr";"Established";"3524";"splunkd"
"PAPSRPA003";"10.109.71.108";"59179";"10.109.187.6";"9997";"PSPLIND001.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA003";"10.109.71.108";"59146";"10.109.187.7";"9997";"PSPLIND002.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA003";"10.109.71.108";"59192";"10.109.194.11";"135";"Non resolu";"TimeWait";"0";"Idle"
"PAPSRPA003";"10.109.71.108";"59193";"10.109.194.11";"49670";"Non resolu";"Established";"652";"lsass"
"PAPSRPA003";"10.109.71.108";"3389";"10.109.194.29";"33678";"Non resolu";"Established";"896";"svchost"
"PAPSRPA003";"10.109.71.108";"443";"10.109.225.148";"32486";"Non resolu";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.225.148";"36372";"Non resolu";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"59166";"10.109.225.49";"8080";"proxy-servers.ca-titres.fr";"Established";"372";"java"
"PAPSRPA003";"10.109.71.108";"59169";"10.109.225.49";"8080";"proxy-servers.ca-titres.fr";"Established";"372";"java"
"PAPSRPA003";"10.109.71.108";"59168";"10.109.225.49";"8080";"proxy-servers.ca-titres.fr";"Established";"372";"java"
"PAPSRPA003";"10.109.71.108";"59167";"10.109.225.49";"8080";"proxy-servers.ca-titres.fr";"Established";"372";"java"
"PAPSRPA003";"10.109.71.108";"3389";"10.109.230.75";"49788";"agamemnon.ca-titres.fr";"Established";"896";"svchost"
"PAPSRPA003";"10.109.71.108";"3389";"10.109.230.75";"49791";"agamemnon.ca-titres.fr";"Established";"896";"svchost"
"PAPSRPA003";"10.109.71.108";"3389";"10.109.230.75";"50066";"agamemnon.ca-titres.fr";"FinWait1";"896";"svchost"
"PAPSRPA003";"10.109.71.108";"3389";"10.109.230.75";"50070";"agamemnon.ca-titres.fr";"FinWait1";"896";"svchost"
"PAPSRPA003";"10.109.71.108";"59182";"10.109.230.78";"135";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA003";"10.109.71.108";"59082";"10.109.230.78";"389";"ASCLEPIOS.ca-titres.fr";"Established";"800";"w3wp"
"PAPSRPA003";"10.109.71.108";"3389";"10.109.230.78";"49489";"ASCLEPIOS.ca-titres.fr";"FinWait1";"896";"svchost"
"PAPSRPA003";"10.109.71.108";"3389";"10.109.230.78";"49490";"ASCLEPIOS.ca-titres.fr";"FinWait1";"896";"svchost"
"PAPSRPA003";"10.109.71.108";"59191";"10.109.230.78";"49667";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA003";"10.109.71.108";"59183";"10.109.230.78";"49675";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA003";"10.109.71.108";"59143";"10.109.231.100";"443";"PEPMIVA020.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA003";"10.109.71.108";"59217";"10.109.231.100";"443";"PEPMIVA020.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA003";"10.109.71.108";"59177";"10.109.231.100";"443";"PEPMIVA020.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA003";"10.109.71.108";"59162";"10.109.231.100";"443";"PEPMIVA020.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.169";"49967";"Non resolu";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.169";"62406";"Non resolu";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.177";"49972";"R310.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.177";"49973";"R310.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.178";"49959";"R315.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.178";"49960";"R315.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.205";"49965";"R314.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.205";"49966";"R314.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.221";"49954";"R318.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.221";"51787";"R318.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.222";"49960";"R306.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.222";"55315";"R306.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.223";"49956";"R309.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.223";"56856";"R309.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.223";"57704";"R309.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.223";"57719";"R309.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.224";"49963";"R316.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.224";"53500";"R316.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.226";"49960";"R305.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.226";"60777";"R305.ca-titres.fr";"Established";"4";"System"
"PAPSRPA003";"10.109.71.108";"443";"10.109.50.229";"49955";"R308.ca-titres.fr";"Established";"4";"System"
