"PC";"LocalIP";"LocalPort";"RemoteIP";"RemotePort";"RemoteServer";"State";"PID";"Process"
"RSQLRPA002";"10.109.74.33";"50457";"10.105.222.201";"514";"plogsoc003.ca-titres.fr";"Established";"8000";"nxlog"
"RSQLRPA002";"10.109.74.33";"54530";"10.109.194.11";"49670";"Non resolu";"TimeWait";"0";"Idle"
"RSQLRPA002";"10.109.74.33";"3389";"10.109.194.29";"50130";"Non resolu";"Established";"1044";"svchost"
"RSQLRPA002";"10.109.74.33";"54342";"10.109.225.49";"8085";"proxy-servers.ca-titres.fr";"Established";"2828";"SentinelAgent"
"RSQLRPA002";"10.109.74.33";"3389";"10.109.230.75";"49822";"agamemnon.ca-titres.fr";"Established";"1044";"svchost"
"RSQLRPA002";"10.109.74.33";"3389";"10.109.230.75";"49824";"agamemnon.ca-titres.fr";"Established";"1044";"svchost"
"RSQLRPA002";"10.109.74.33";"54532";"10.109.230.78";"135";"asclepios.ca-titres.fr";"Established";"1624";"svchost"
"RSQLRPA002";"10.109.74.33";"54537";"10.109.230.78";"445";"asclepios.ca-titres.fr";"Established";"4";"System"
"RSQLRPA002";"10.109.74.33";"54539";"10.109.230.78";"445";"asclepios.ca-titres.fr";"Established";"4";"System"
"RSQLRPA002";"10.109.74.33";"54541";"10.109.230.78";"445";"asclepios.ca-titres.fr";"Established";"4";"System"
"RSQLRPA002";"10.109.74.33";"54540";"10.109.230.78";"445";"asclepios.ca-titres.fr";"Established";"4";"System"
"RSQLRPA002";"10.109.74.33";"54533";"10.109.230.78";"49667";"asclepios.ca-titres.fr";"Established";"1624";"svchost"
"RSQLRPA002";"10.109.74.33";"54589";"10.109.231.100";"443";"PEPMIVA020.ca-titres.fr";"TimeWait";"0";"Idle"
"RSQLRPA002";"10.109.74.33";"54605";"10.109.231.100";"443";"PEPMIVA020.ca-titres.fr";"TimeWait";"0";"Idle"
"RSQLRPA002";"10.109.74.33";"54557";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"RSQLRPA002";"10.109.74.33";"54561";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"RSQLRPA002";"10.109.74.33";"54562";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"RSQLRPA002";"10.109.74.33";"54563";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"RSQLRPA002";"10.109.74.33";"54607";"20.190.159.131";"443";"Non resolu";"SynSent";"9032";"svchost"
