"PC";"LocalIP";"LocalPort";"RemoteIP";"RemotePort";"RemoteServer";"State";"PID";"Process"
"PSQLRPA002";"10.109.74.34";"60633";"10.105.222.201";"514";"plogsoc003.ca-titres.fr";"Established";"5344";"nxlog"
"PSQLRPA002";"10.109.74.34";"59600";"10.109.187.10";"9997";"PSPLIND005.ca-titres.fr";"Established";"4024";"splunkd"
"PSQLRPA002";"10.109.74.34";"59539";"10.109.187.10";"9997";"PSPLIND005.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA002";"10.109.74.34";"59576";"10.109.187.10";"9997";"PSPLIND005.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA002";"10.109.74.34";"59542";"10.109.187.11";"9997";"PSPLIND006.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA002";"10.109.74.34";"59565";"10.109.187.13";"9997";"psplind008.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA002";"10.109.74.34";"59587";"10.109.187.15";"8089";"PSPLDES001.ca-titres.fr";"Established";"4024";"splunkd"
"PSQLRPA002";"10.109.74.34";"59555";"10.109.194.11";"135";"Non resolu";"TimeWait";"0";"Idle"
"PSQLRPA002";"10.109.74.34";"59556";"10.109.194.11";"49670";"Non resolu";"Established";"760";"lsass"
"PSQLRPA002";"10.109.74.34";"3389";"10.109.194.29";"55854";"Non resolu";"Established";"464";"svchost"
"PSQLRPA002";"10.109.74.34";"59570";"10.109.225.49";"8085";"proxy-servers.ca-titres.fr";"Established";"2980";"SentinelAgent"
"PSQLRPA002";"10.109.74.34";"64803";"10.109.225.49";"8085";"proxy-servers.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA002";"10.109.74.34";"59487";"10.109.230.75";"135";"agamemnon.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA002";"10.109.74.34";"59496";"10.109.230.75";"445";"agamemnon.ca-titres.fr";"Established";"4";"System"
"PSQLRPA002";"10.109.74.34";"59495";"10.109.230.75";"445";"agamemnon.ca-titres.fr";"Established";"4";"System"
"PSQLRPA002";"10.109.74.34";"59494";"10.109.230.75";"445";"agamemnon.ca-titres.fr";"Established";"4";"System"
"PSQLRPA002";"10.109.74.34";"59492";"10.109.230.75";"445";"agamemnon.ca-titres.fr";"Established";"4";"System"
"PSQLRPA002";"10.109.74.34";"3389";"10.109.230.75";"49466";"agamemnon.ca-titres.fr";"Established";"464";"svchost"
"PSQLRPA002";"10.109.74.34";"3389";"10.109.230.75";"49469";"agamemnon.ca-titres.fr";"Established";"464";"svchost"
"PSQLRPA002";"10.109.74.34";"60521";"10.109.230.75";"49670";"agamemnon.ca-titres.fr";"Established";"5036";"splunk-winevtlog"
"PSQLRPA002";"10.109.74.34";"59488";"10.109.230.75";"49670";"agamemnon.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA002";"10.109.74.34";"59558";"10.109.230.78";"135";"ASCLEPIOS.ca-titres.fr";"Established";"1556";"svchost"
"PSQLRPA002";"10.109.74.34";"59553";"10.109.230.78";"135";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA002";"10.109.74.34";"59559";"10.109.230.78";"49667";"ASCLEPIOS.ca-titres.fr";"Established";"1556";"svchost"
"PSQLRPA002";"10.109.74.34";"59554";"10.109.230.78";"49667";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA002";"10.109.74.34";"59546";"10.109.230.78";"49675";"ASCLEPIOS.ca-titres.fr";"TimeWait";"0";"Idle"
"PSQLRPA002";"10.109.74.34";"445";"10.109.230.99";"55663";"PBKPPRX007.ca-titres.fr";"Established";"4";"System"
"PSQLRPA002";"10.109.74.34";"445";"10.109.230.99";"55667";"PBKPPRX007.ca-titres.fr";"Established";"4";"System"
"PSQLRPA002";"10.109.74.34";"445";"10.109.230.99";"55678";"PBKPPRX007.ca-titres.fr";"Established";"4";"System"
"PSQLRPA002";"10.109.74.34";"445";"10.109.230.99";"55679";"PBKPPRX007.ca-titres.fr";"Established";"4";"System"
"PSQLRPA002";"10.109.74.34";"59448";"10.109.230.99";"56956";"PBKPPRX007.ca-titres.fr";"Established";"5620";"VeeamGuestHelper"
"PSQLRPA002";"10.109.74.34";"59586";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PSQLRPA002";"10.109.74.34";"59585";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PSQLRPA002";"10.109.74.34";"59584";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PSQLRPA002";"10.109.74.34";"59582";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PSQLRPA002";"10.109.74.34";"59593";"199.232.170.172";"80";"Non resolu";"SynSent";"2484";"svchost"
"PSQLRPA002";"10.109.74.34";"59592";"2.22.255.188";"80";"a2-22-255-188.deploy.static.akamaitechnologies.com";"SynSent";"2980";"SentinelAgent"
"PSQLRPA002";"10.109.74.34";"59598";"20.190.159.2";"443";"Non resolu";"SynSent";"4836";"svchost"
"PSQLRPA002";"10.109.74.34";"59599";"23.11.41.157";"80";"a23-11-41-157.deploy.static.akamaitechnologies.com";"SynSent";"9324";"proxyhost"
