"PC";"LocalIP";"LocalPort";"RemoteIP";"RemotePort";"RemoteServer";"State";"PID";"Process"
"PAPSPAD003";"10.109.72.23";"49902";"10.105.222.201";"514";"plogsoc003.ca-titres.fr";"Established";"6080";"nxlog"
"PAPSPAD003";"10.109.72.23";"61411";"10.105.230.50";"135";"angita.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD003";"10.109.72.23";"61419";"10.105.230.50";"49667";"angita.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD003";"10.109.72.23";"61412";"10.105.230.50";"58688";"angita.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD003";"10.109.72.23";"61423";"10.105.230.51";"135";"sylvia.ca-titres.fr";"Established";"1568";"svchost"
"PAPSPAD003";"10.109.72.23";"61424";"10.105.230.51";"49667";"sylvia.ca-titres.fr";"Established";"1568";"svchost"
"PAPSPAD003";"10.109.72.23";"61435";"10.109.187.10";"9997";"PSPLIND005.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD003";"10.109.72.23";"61399";"10.109.187.13";"9997";"psplind008.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD003";"10.109.72.23";"61410";"10.109.187.6";"9997";"PSPLIND001.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD003";"10.109.72.23";"61451";"10.109.187.7";"9997";"PSPLIND002.ca-titres.fr";"Established";"3628";"splunkd"
"PAPSPAD003";"10.109.72.23";"3389";"10.109.194.29";"50302";"Non resolu";"Established";"384";"svchost"
"PAPSPAD003";"10.109.72.23";"61420";"10.109.194.7";"135";"PDCRADM002.ca-titres.adm";"TimeWait";"0";"Idle"
"PAPSPAD003";"10.109.72.23";"61421";"10.109.194.7";"49668";"PDCRADM002.ca-titres.adm";"Established";"712";"lsass"
"PAPSPAD003";"10.109.72.23";"49775";"10.109.230.75";"49670";"agamemnon.ca-titres.fr";"Established";"6656";"splunk-winevtlog"
"PAPSPAD003";"10.109.72.23";"3389";"10.109.230.78";"49753";"asclepios.ca-titres.fr";"Established";"384";"svchost"
"PAPSPAD003";"10.109.72.23";"3389";"10.109.230.78";"49767";"asclepios.ca-titres.fr";"Established";"384";"svchost"
"PAPSPAD003";"10.109.72.23";"60605";"10.109.71.128";"443";"pscaedr002.ca-titres.fr";"Established";"2904";"SentinelAgent"
"PAPSPAD003";"10.109.72.23";"61454";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PAPSPAD003";"10.109.72.23";"61457";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PAPSPAD003";"10.109.72.23";"61458";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PAPSPAD003";"10.109.72.23";"61452";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PAPSPAD003";"10.109.72.23";"61466";"20.190.159.4";"443";"Non resolu";"SynSent";"8300";"svchost"
