"PC";"LocalIP";"LocalPort";"RemoteIP";"RemotePort";"RemoteServer";"State";"PID";"Process"
"PAPSPAD002";"10.109.194.109";"49706";"10.105.222.201";"514";"Non resolu";"Established";"2016";"nxlog"
"PAPSPAD002";"10.109.194.109";"54305";"10.109.187.11";"9997";"Non resolu";"TimeWait";"0";"Idle"
"PAPSPAD002";"10.109.194.109";"54304";"10.109.187.12";"9997";"Non resolu";"TimeWait";"0";"Idle"
"PAPSPAD002";"10.109.194.109";"54302";"10.109.187.13";"9997";"Non resolu";"TimeWait";"0";"Idle"
"PAPSPAD002";"10.109.194.109";"54301";"10.109.187.7";"9997";"Non resolu";"TimeWait";"0";"Idle"
"PAPSPAD002";"10.109.194.109";"54307";"10.109.187.8";"9997";"Non resolu";"Established";"3956";"splunkd"
"PAPSPAD002";"10.109.194.109";"3389";"10.109.194.29";"54930";"PWABBST001.ca-titres.adm";"Established";"844";"svchost"
"PAPSPAD002";"10.109.194.109";"445";"10.109.194.44";"61012";"SRVAC01VM004.ca-titres.adm";"Established";"4";"System"
"PAPSPAD002";"10.109.194.109";"49850";"10.109.194.7";"49668";"PDCRADM002.ca-titres.adm";"Established";"5264";"splunk-winevtlog"
"PAPSPAD002";"10.109.194.109";"54214";"10.109.71.128";"443";"Non resolu";"Established";"1392";"SentinelAgent"
"PAPSPAD002";"10.109.194.109";"53725";"10.109.71.80";"445";"Non resolu";"Established";"4";"System"
"PAPSPAD002";"10.109.194.109";"54295";"10.109.72.22";"443";"Non resolu";"TimeWait";"0";"Idle"
