"PC";"LocalIP";"LocalPort";"RemoteIP";"RemotePort";"RemoteServer";"State";"PID";"Process"
"RAPSRPA003";"10.109.56.34";"49719";"10.105.222.201";"514";"plogsoc003.ca-titres.fr";"Established";"1956";"nxlog"
"RAPSRPA003";"10.109.56.34";"53811";"10.105.230.50";"135";"ANGITA.ca-titres.fr";"Established";"876";"svchost"
"RAPSRPA003";"10.109.56.34";"53819";"10.105.230.50";"445";"ANGITA.ca-titres.fr";"Established";"4";"System"
"RAPSRPA003";"10.109.56.34";"53817";"10.105.230.50";"445";"ANGITA.ca-titres.fr";"Established";"4";"System"
"RAPSRPA003";"10.109.56.34";"53820";"10.105.230.50";"445";"ANGITA.ca-titres.fr";"Established";"4";"System"
"RAPSRPA003";"10.109.56.34";"53821";"10.105.230.50";"445";"ANGITA.ca-titres.fr";"Established";"4";"System"
"RAPSRPA003";"10.109.56.34";"53812";"10.105.230.50";"49667";"ANGITA.ca-titres.fr";"Established";"876";"svchost"
"RAPSRPA003";"10.109.56.34";"53744";"10.105.230.50";"49667";"ANGITA.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA003";"10.109.56.34";"49823";"10.105.230.50";"49667";"ANGITA.ca-titres.fr";"Established";"5960";"splunk-winevtlog"
"RAPSRPA003";"10.109.56.34";"53798";"10.105.230.51";"135";"SYLVIA.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA003";"10.109.56.34";"53807";"10.105.230.51";"49667";"SYLVIA.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA003";"10.109.56.34";"53799";"10.105.230.51";"60729";"SYLVIA.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA003";"10.109.56.34";"53792";"10.109.187.11";"9997";"PSPLIND006.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA003";"10.109.56.34";"53778";"10.109.187.11";"9997";"PSPLIND006.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA003";"10.109.56.34";"53835";"10.109.187.12";"9997";"PSPLIND007.ca-titres.fr";"Established";"3760";"splunkd"
"RAPSRPA003";"10.109.56.34";"53764";"10.109.187.12";"9997";"PSPLIND007.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA003";"10.109.56.34";"53855";"10.109.187.15";"8089";"PSPLDES001.ca-titres.fr";"Established";"3760";"splunkd"
"RAPSRPA003";"10.109.56.34";"53797";"10.109.187.8";"9997";"PSPLIND003.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA003";"10.109.56.34";"53808";"10.109.194.11";"135";"Non resolu";"TimeWait";"0";"Idle"
"RAPSRPA003";"10.109.56.34";"53809";"10.109.194.11";"49670";"Non resolu";"Established";"688";"lsass"
"RAPSRPA003";"10.109.56.34";"3389";"10.109.194.29";"56574";"Non resolu";"Established";"956";"svchost"
"RAPSRPA003";"10.109.56.34";"443";"10.109.225.147";"37360";"Non resolu";"Established";"4";"System"
"RAPSRPA003";"10.109.56.34";"443";"10.109.225.147";"52806";"Non resolu";"Established";"4";"System"
"RAPSRPA003";"10.109.56.34";"50828";"10.109.225.49";"8080";"proxy-servers.ca-titres.fr";"CloseWait";"4140";"java"
"RAPSRPA003";"10.109.56.34";"50827";"10.109.225.49";"8080";"proxy-servers.ca-titres.fr";"CloseWait";"4140";"java"
"RAPSRPA003";"10.109.56.34";"53765";"10.109.225.49";"8085";"proxy-servers.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA003";"10.109.56.34";"49909";"10.109.225.49";"8085";"proxy-servers.ca-titres.fr";"Established";"2224";"SentinelAgent"
"RAPSRPA003";"10.109.56.34";"53597";"10.109.230.33";"1433";"RSQLRPA001.ca-titres.fr";"Established";"4276";"w3wp"
"RAPSRPA003";"10.109.56.34";"53575";"10.109.230.33";"1433";"RSQLRPA001.ca-titres.fr";"TimeWait";"0";"Idle"
"RAPSRPA003";"10.109.56.34";"53075";"10.109.230.33";"1433";"RSQLRPA001.ca-titres.fr";"Established";"4536";"w3wp"
"RAPSRPA003";"10.109.56.34";"53574";"10.109.230.33";"1433";"RSQLRPA001.ca-titres.fr";"Established";"4276";"w3wp"
"RAPSRPA003";"10.109.56.34";"53564";"10.109.230.33";"1433";"RSQLRPA001.ca-titres.fr";"Established";"4276";"w3wp"
"RAPSRPA003";"10.109.56.34";"63578";"10.109.230.33";"1433";"RSQLRPA001.ca-titres.fr";"Established";"4276";"w3wp"
"RAPSRPA003";"10.109.56.34";"53825";"10.109.230.33";"1433";"RSQLRPA001.ca-titres.fr";"Established";"4276";"w3wp"
"RAPSRPA003";"10.109.56.34";"53826";"10.109.230.33";"1433";"RSQLRPA001.ca-titres.fr";"Established";"4276";"w3wp"
"RAPSRPA003";"10.109.56.34";"53827";"10.109.230.33";"1433";"RSQLRPA001.ca-titres.fr";"Established";"4276";"w3wp"
"RAPSRPA003";"10.109.56.34";"49857";"10.109.230.33";"1433";"RSQLRPA001.ca-titres.fr";"Established";"4140";"java"
"RAPSRPA003";"10.109.56.34";"62111";"10.109.230.33";"1433";"RSQLRPA001.ca-titres.fr";"Established";"6996";"w3wp"
"RAPSRPA003";"10.109.56.34";"62155";"10.109.230.33";"1433";"RSQLRPA001.ca-titres.fr";"Established";"4060";"w3wp"
