"PC";"LocalIP";"LocalPort";"RemoteIP";"RemotePort";"RemoteServer";"State";"PID";"Process"
"PAPSPAD001";"10.109.72.22";"61376";"10.105.222.201";"514";"plogsoc003.ca-titres.fr";"Established";"2012";"nxlog"
"PAPSPAD001";"10.109.72.22";"65414";"10.109.187.10";"9997";"PSPLIND005.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD001";"10.109.72.22";"65465";"10.109.187.11";"9997";"PSPLIND006.ca-titres.fr";"Established";"2596";"splunkd"
"PAPSPAD001";"10.109.72.22";"65428";"10.109.187.12";"9997";"PSPLIND007.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD001";"10.109.72.22";"65444";"10.109.187.12";"9997";"PSPLIND007.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD001";"10.109.72.22";"65457";"10.109.187.9";"9997";"PSPLIND004.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD001";"10.109.72.22";"443";"10.109.194.109";"54200";"Non resolu";"Established";"4";"System"
"PAPSPAD001";"10.109.72.22";"3389";"10.109.194.29";"51436";"Non resolu";"Established";"920";"svchost"
"PAPSPAD001";"10.109.72.22";"65437";"10.109.194.6";"135";"PDCRADM001.ca-titres.adm";"TimeWait";"0";"Idle"
"PAPSPAD001";"10.109.72.22";"65438";"10.109.194.6";"49669";"PDCRADM001.ca-titres.adm";"Established";"676";"lsass"
"PAPSPAD001";"10.109.72.22";"49770";"10.109.230.75";"49670";"agamemnon.ca-titres.fr";"Established";"2868";"splunk-winevtlog"
"PAPSPAD001";"10.109.72.22";"3389";"10.109.230.75";"49735";"agamemnon.ca-titres.fr";"Established";"920";"svchost"
"PAPSPAD001";"10.109.72.22";"3389";"10.109.230.75";"49736";"agamemnon.ca-titres.fr";"Established";"920";"svchost"
"PAPSPAD001";"10.109.72.22";"65435";"10.109.231.100";"443";"PEPMIVA020.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD001";"10.109.72.22";"65462";"10.109.231.100";"443";"PEPMIVA020.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD001";"10.109.72.22";"65469";"10.109.231.100";"443";"PEPMIVA020.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD001";"10.109.72.22";"65470";"10.109.231.100";"443";"PEPMIVA020.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD001";"10.109.72.22";"65446";"10.109.231.100";"443";"PEPMIVA020.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD001";"10.109.72.22";"65471";"10.109.231.100";"443";"PEPMIVA020.ca-titres.fr";"TimeWait";"0";"Idle"
"PAPSPAD001";"10.109.72.22";"64725";"10.109.71.128";"443";"pscaedr002.ca-titres.fr";"Established";"4692";"SentinelAgent"
"PAPSPAD001";"10.109.72.22";"65412";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PAPSPAD001";"10.109.72.22";"65411";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PAPSPAD001";"10.109.72.22";"65410";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PAPSPAD001";"10.109.72.22";"65406";"10.109.71.80";"445";"PFSRSMB006.ca-titres.fr";"Established";"4";"System"
"PAPSPAD001";"10.109.72.22";"65382";"10.179.164.19";"443";"Non resolu";"TimeWait";"0";"Idle"
"PAPSPAD001";"10.109.72.22";"65468";"20.190.159.68";"443";"Non resolu";"SynSent";"1056";"svchost"
"PAPSPAD001";"10.109.72.22";"65467";"23.11.41.157";"80";"a23-11-41-157.deploy.static.akamaitechnologies.com";"SynSent";"9020";"ComplianceUpload"
"PAPSPAD001";"10.109.72.22";"65464";"40.126.31.131";"443";"Non resolu";"SynSent";"1056";"svchost"
